time,temperature_2m,relativehumidity_2m,rain,snowfall,windspeed_10m,shortwave_radiation
2024-01-01T00:00,2.6,87,0.1,0.0,0.78,0.0
2024-01-01T01:00,2.3,88,0.0,0.0,0.92,0.0
2024-01-01T02:00,2.2,88,0.1,0.0,1.06,0.0
2024-01-01T03:00,2.1,88,0.1,0.0,1.2,0.0
2024-01-01T04:00,1.5,93,0.1,0.0,1.2,0.0
2024-01-01T05:00,1.3,94,0.0,0.0,1.14,0.0
2024-01-01T06:00,0.8,97,0.0,0.0,0.86,0.0
2024-01-01T07:00,0.8,98,0.1,0.0,0.92,0.0
2024-01-01T08:00,0.5,99,0.1,0.0,0.92,0.0
2024-01-01T09:00,0.1,99,0.1,0.0,0.92,17.0
2024-01-01T10:00,2.4,92,0.1,0.0,0.85,81.0
2024-01-01T11:00,1.6,94,0.1,0.0,0.92,114.0
2024-01-01T12:00,1.4,93,0.1,0.0,1.14,164.0
2024-01-01T13:00,4.0,85,0.2,0.0,1.42,216.0
2024-01-01T14:00,4.3,81,0.2,0.0,1.7,313.0
2024-01-01T15:00,3.8,85,0.2,0.0,1.84,228.0
2024-01-01T16:00,3.2,88,0.1,0.0,1.77,172.0
2024-01-01T17:00,3.2,89,0.2,0.0,1.7,107.0
2024-01-01T18:00,1.2,99,0.2,0.0,1.57,39.0
2024-01-01T19:00,1.2,99,0.2,0.07,1.58,2.0
2024-01-01T20:00,1.0,100,0.2,0.07,1.57,0.0
2024-01-01T21:00,1.1,98,0.2,0.07,1.36,0.0
2024-01-01T22:00,1.0,97,0.2,0.07,1.1,0.0
2024-01-01T23:00,-0.6,99,0.1,0.07,1.02,0.0
2024-01-02T00:00,-0.6,99,0.0,0.07,0.72,0.0
2024-01-02T01:00,-0.9,98,0.0,0.0,0.54,0.0
2024-01-02T02:00,-0.5,96,0.0,0.0,0.63,0.0
2024-01-02T03:00,-0.3,95,0.0,0.0,0.67,0.0
2024-01-02T04:00,-1.3,98,0.0,0.0,0.86,0.0
2024-01-02T05:00,-0.9,96,0.0,0.0,0.92,0.0
2024-01-02T06:00,-2.1,97,0.0,0.0,1.06,0.0
2024-01-02T07:00,-1.9,97,0.0,0.0,1.2,0.0
2024-01-02T08:00,-1.7,95,0.0,0.0,1.2,0.0
2024-01-02T09:00,-1.8,93,0.0,0.0,1.06,31.0
2024-01-02T10:00,1.7,84,0.0,0.0,0.36,153.0
2024-01-02T11:00,2.0,84,0.0,0.0,0.58,294.0
2024-01-02T12:00,2.5,81,0.0,0.0,1.17,415.0
2024-01-02T13:00,6.4,65,0.0,0.0,1.48,447.0
2024-01-02T14:00,6.6,64,0.0,0.0,1.89,425.0
2024-01-02T15:00,6.0,68,0.1,0.0,2.02,341.0
2024-01-02T16:00,5.0,70,0.2,0.07,2.0,212.0
2024-01-02T17:00,4.4,76,0.4,0.0,1.98,128.0
2024-01-02T18:00,1.3,91,0.4,0.0,1.56,38.0
2024-01-02T19:00,1.2,94,0.3,0.07,1.49,2.0
2024-01-02T20:00,1.3,93,0.3,0.07,1.35,0.0
2024-01-02T21:00,1.4,91,0.2,0.14,1.49,0.0
2024-01-02T22:00,1.0,92,0.2,0.14,1.49,0.0
2024-01-02T23:00,-0.5,95,0.1,0.14,1.27,0.0
2024-01-03T00:00,-0.4,93,0.1,0.07,1.06,0.0
2024-01-03T01:00,-0.6,95,0.1,0.0,0.92,0.0
2024-01-03T02:00,-0.8,94,0.1,0.0,0.78,0.0
2024-01-03T03:00,-1.0,93,0.0,0.14,0.5,0.0
2024-01-03T04:00,-1.8,94,0.0,0.07,0.5,0.0
2024-01-03T05:00,-1.7,94,0.0,0.07,0.41,0.0
2024-01-03T06:00,-2.2,95,0.0,0.07,0.42,0.0
2024-01-03T07:00,-1.8,94,0.0,0.0,0.54,0.0
2024-01-03T08:00,-1.7,94,0.0,0.0,0.73,0.0
2024-01-03T09:00,-2.3,94,0.0,0.0,0.64,29.0
2024-01-03T10:00,0.8,80,0.0,0.0,0.67,148.0
2024-01-03T11:00,0.9,74,0.0,0.0,0.63,315.0
2024-01-03T12:00,1.1,75,0.0,0.0,0.58,390.0
2024-01-03T13:00,5.5,61,0.0,0.0,0.64,544.0
2024-01-03T14:00,5.9,61,0.0,0.0,0.64,500.0
2024-01-03T15:00,6.1,60,0.0,0.0,0.81,370.0
2024-01-03T16:00,5.5,63,0.0,0.0,0.89,269.0
2024-01-03T17:00,5.1,63,0.0,0.0,1.03,172.0
2024-01-03T18:00,2.9,70,0.0,0.0,0.85,69.0
2024-01-03T19:00,2.9,71,0.0,0.0,1.5,3.0
2024-01-03T20:00,2.0,79,0.0,0.0,1.2,0.0
2024-01-03T21:00,1.8,80,0.0,0.0,1.28,0.0
2024-01-03T22:00,1.8,87,0.0,0.0,0.99,0.0
2024-01-03T23:00,0.6,88,0.0,0.0,0.72,0.0
2024-01-04T00:00,1.0,87,0.0,0.0,0.58,0.0
2024-01-04T01:00,0.2,91,0.0,0.0,0.22,0.0
2024-01-04T02:00,0.6,90,0.0,0.0,0.2,0.0
2024-01-04T03:00,0.7,90,0.0,0.0,0.36,0.0
2024-01-04T04:00,0.4,91,0.0,0.0,0.45,0.0
2024-01-04T05:00,0.5,89,0.0,0.0,0.42,0.0
2024-01-04T06:00,-0.0,88,0.0,0.0,0.92,0.0
2024-01-04T07:00,-0.1,89,0.0,0.0,0.81,0.0
2024-01-04T08:00,-0.3,91,0.0,0.0,0.57,0.0
2024-01-04T09:00,-0.4,91,0.0,0.0,0.58,39.0
2024-01-04T10:00,3.9,80,0.0,0.0,0.51,170.0
2024-01-04T11:00,4.6,77,0.0,0.0,0.71,342.0
2024-01-04T12:00,4.7,77,0.0,0.0,0.8,444.0
2024-01-04T13:00,7.6,61,0.0,0.0,1.02,597.0
2024-01-04T14:00,7.8,60,0.0,0.0,1.1,498.0
2024-01-04T15:00,7.9,60,0.0,0.0,1.08,487.0
2024-01-04T16:00,8.1,59,0.0,0.0,1.08,364.0
2024-01-04T17:00,7.4,63,0.0,0.0,1.0,245.0
2024-01-04T18:00,4.8,72,0.0,0.0,1.0,112.0
2024-01-04T19:00,4.0,74,0.0,0.0,1.7,5.0
2024-01-04T20:00,4.0,77,0.1,0.0,0.92,0.0
2024-01-04T21:00,3.8,80,0.1,0.0,1.06,0.0
2024-01-04T22:00,3.4,86,0.1,0.0,1.42,0.0
2024-01-04T23:00,1.7,90,0.2,0.0,1.28,0.0
2024-01-05T00:00,1.5,92,0.1,0.0,1.14,0.0
2024-01-05T01:00,0.9,93,0.1,0.0,1.06,0.0
2024-01-05T02:00,0.9,93,0.1,0.0,1.0,0.0
2024-01-05T03:00,0.7,93,0.1,0.0,0.99,0.0
2024-01-05T04:00,0.2,95,0.1,0.0,0.99,0.0
2024-01-05T05:00,0.2,95,0.1,0.0,0.78,0.0
2024-01-05T06:00,-0.2,99,0.1,0.0,0.14,0.0
2024-01-05T07:00,-0.4,99,0.1,0.0,0.61,0.0
2024-01-05T08:00,-0.2,99,0.0,0.0,0.36,0.0
2024-01-05T09:00,-0.1,98,0.0,0.0,0.6,22.0
2024-01-05T10:00,2.1,86,0.0,0.0,0.85,121.0
2024-01-05T11:00,2.4,84,0.0,0.0,1.03,197.0
2024-01-05T12:00,2.4,85,0.0,0.0,0.98,239.0
2024-01-05T13:00,5.3,70,0.0,0.0,0.8,369.0
2024-01-05T14:00,5.6,67,0.0,0.0,0.92,336.0
2024-01-05T15:00,5.5,69,0.0,0.0,1.44,270.0
2024-01-05T16:00,5.5,69,0.0,0.0,1.53,263.0
2024-01-05T17:00,5.2,71,0.0,0.0,1.66,204.0
2024-01-05T18:00,2.5,83,0.0,0.0,1.77,66.0
2024-01-05T19:00,2.5,82,0.1,0.0,1.58,3.0
2024-01-05T20:00,2.0,88,0.1,0.0,1.43,0.0
2024-01-05T21:00,1.9,90,0.1,0.0,1.25,0.0
2024-01-05T22:00,1.7,93,0.1,0.0,1.14,0.0
2024-01-05T23:00,0.2,97,0.0,0.0,1.03,0.0
2024-01-06T00:00,0.5,96,0.1,0.0,1.08,0.0
2024-01-06T01:00,0.0,96,0.1,0.0,0.86,0.0
2024-01-06T02:00,-0.0,96,0.1,0.0,0.72,0.0
2024-01-06T03:00,0.2,95,0.0,0.07,0.58,0.0
2024-01-06T04:00,-0.3,97,0.0,0.07,0.58,0.0
2024-01-06T05:00,-0.1,96,0.0,0.07,0.36,0.0
2024-01-06T06:00,-1.0,97,0.1,0.0,0.4,0.0
2024-01-06T07:00,-0.7,95,0.0,0.0,0.64,0.0
2024-01-06T08:00,-0.4,94,0.0,0.0,0.36,0.0
2024-01-06T09:00,-1.0,95,0.0,0.0,0.5,19.0
2024-01-06T10:00,2.1,82,0.0,0.0,0.5,118.0
2024-01-06T11:00,2.3,85,0.0,0.0,0.61,204.0
2024-01-06T12:00,3.1,82,0.0,0.0,0.7,382.0
2024-01-06T13:00,5.7,69,0.0,0.0,0.8,372.0
2024-01-06T14:00,7.2,65,0.0,0.0,0.71,473.0
2024-01-06T15:00,7.5,62,0.0,0.0,0.81,336.0
2024-01-06T16:00,8.0,58,0.0,0.0,1.21,306.0
2024-01-06T17:00,7.3,60,0.0,0.0,1.25,247.0
2024-01-06T18:00,4.5,69,0.0,0.0,1.49,83.0
