time,temperature_2m,relativehumidity_2m,rain,snowfall,windspeed_10m,shortwave_radiation
2024-01-01T00:00,-1.1,83,0.0,0.0,1.84,0.0
2024-01-01T01:00,-1.7,83,0.0,0.0,1.66,0.0
2024-01-01T02:00,-2.1,84,0.0,0.0,1.53,0.0
2024-01-01T03:00,-1.9,83,0.0,0.0,1.3,0.0
2024-01-01T04:00,-2.7,87,0.0,0.0,1.28,0.0
2024-01-01T05:00,-2.6,85,0.0,0.0,1.0,0.0
2024-01-01T06:00,-2.2,84,0.0,0.0,0.7,0.0
2024-01-01T07:00,-2.1,84,0.0,0.0,0.9,0.0
2024-01-01T08:00,-1.6,82,0.0,0.0,0.81,4.0
2024-01-01T09:00,-1.4,81,0.0,0.0,0.67,86.0
2024-01-01T10:00,2.3,63,0.0,0.0,0.86,246.0
2024-01-01T11:00,2.2,60,0.0,0.0,1.53,375.0
2024-01-01T12:00,2.2,60,0.0,0.0,2.36,397.0
2024-01-01T13:00,5.1,49,0.0,0.0,2.86,428.0
2024-01-01T14:00,5.0,52,0.0,0.0,3.02,319.0
2024-01-01T15:00,5.3,52,0.0,0.0,3.05,175.0
2024-01-01T16:00,5.6,54,0.0,0.0,2.61,105.0
2024-01-01T17:00,5.2,58,0.0,0.0,1.64,71.0
2024-01-01T18:00,2.7,70,0.0,0.0,2.01,6.0
2024-01-01T19:00,2.6,71,0.0,0.0,1.57,0.0
2024-01-01T20:00,2.5,72,0.0,0.0,1.72,0.0
2024-01-01T21:00,2.9,71,0.0,0.0,1.98,0.0
2024-01-01T22:00,2.8,74,0.0,0.0,2.05,0.0
2024-01-01T23:00,2.7,79,0.0,0.0,1.98,0.0
2024-01-02T00:00,2.4,80,0.0,0.0,1.98,0.0
2024-01-02T01:00,2.2,82,0.0,0.0,1.92,0.0
2024-01-02T02:00,2.1,82,0.0,0.0,1.63,0.0
2024-01-02T03:00,1.8,84,0.0,0.0,1.36,0.0
2024-01-02T04:00,1.1,88,0.0,0.0,1.28,0.0
2024-01-02T05:00,0.9,91,0.0,0.0,1.27,0.0
2024-01-02T06:00,0.8,89,0.0,0.0,1.39,0.0
2024-01-02T07:00,0.2,90,0.0,0.0,1.42,0.0
2024-01-02T08:00,-0.1,90,0.0,0.0,1.63,4.0
2024-01-02T09:00,0.8,82,0.0,0.0,2.34,101.0
2024-01-02T10:00,5.3,67,0.0,0.0,2.42,262.0
2024-01-02T11:00,6.2,62,0.0,0.0,2.72,407.0
2024-01-02T12:00,7.4,57,0.0,0.0,3.22,502.0
2024-01-02T13:00,12.3,36,0.0,0.0,3.72,535.0
2024-01-02T14:00,12.6,34,0.0,0.0,4.03,505.0
2024-01-02T15:00,12.8,32,0.0,0.0,4.15,414.0
2024-01-02T16:00,11.8,36,0.0,0.0,3.41,275.0
2024-01-02T17:00,11.4,34,0.0,0.0,3.21,115.0
2024-01-02T18:00,7.1,46,0.0,0.0,3.62,7.0
